,ticker,fiscal_year,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest
0000005981:2012:FY,AVD,2012,0.0,488000.0,37355000.0,37355000.0,0.0,0.0
0000005981:2013:FY,AVD,2013,0.0,1231000.0,35163000.0,35163000.0,0.0,0.0
0000005981:2014:FY,AVD,2014,0.0,-147000.0,3919000.0,3919000.0,0.0,0.0
0000005981:2015:FY,AVD,2015,0.0,-1297000.0,5020000.0,5020000.0,0.0,0.0
0000005981:2016:FY,AVD,2016,236000.0,-1310000.0,11714000.0,11478000.0,0.0,0.0
0000005981:2017:FY,AVD,2017,87000.0,344000.0,20705000.0,20618000.0,0.0,0.0
0000005981:2018:FY,AVD,2018,-133000.0,0.0,24062000.0,24195000.0,0.0,0.0
0000005981:2019:FY,AVD,2019,0.0,-1191000.0,12410000.0,12410000.0,0.0,0.0
0000005981:2020:FY,AVD,2020,0.0,-3624000.0,11618000.0,11618000.0,0.0,0.0
0000005981:2021:FY,AVD,2021,0.0,-4462000.0,14125000.0,14125000.0,0.0,0.0
0001858257:2021:FY,AVDX,2021,0.0,0.0,-199649000.0,-199649000.0,0.0,0.0
0001441634:2011:FY,AVGO,2011,0.0,0.0,552000000.0,552000000.0,0.0,0.0
0001441634:2012:FY,AVGO,2012,0.0,0.0,563000000.0,563000000.0,0.0,0.0
0001441634:2013:FY,AVGO,2013,0.0,5000000.0,557000000.0,557000000.0,0.0,0.0
0001441634:2014:FY,AVGO,2014,0.0,-44000000.0,219000000.0,219000000.0,0.0,0.0
0001441634:2015:FY,AVGO,2015,0.0,-23000000.0,1341000000.0,1341000000.0,0.0,0.0
0001649338:2016:FY,AVGO,2016,-122000000.0,-61000000.0,-1922000000.0,-1800000000.0,0.0,0.0
0001649338:2017:FY,AVGO,2017,92000000.0,43000000.0,1827000000.0,1735000000.0,0.0,0.0
0001730168:2018:FY,AVGO,2018,351000000.0,-8000000.0,12602000000.0,12251000000.0,0.0,0.0
0001730168:2019:FY,AVGO,2019,0.0,-24000000.0,2700000000.0,2700000000.0,0.0,0.0
0001730168:2020:FY,AVGO,2020,0.0,24000000.0,2984000000.0,2984000000.0,0.0,0.0
0001730168:2021:FY,AVGO,2021,0.0,-8000000.0,6728000000.0,6728000000.0,0.0,0.0
0001730168:2022:FY,AVGO,2022,0.0,62000000.0,11557000000.0,11557000000.0,0.0,0.0
0000896841:2013:FY,AVID,2013,0.0,-1717000.0,19436000.0,19436000.0,0.0,0.0
0000896841:2014:FY,AVID,2014,0.0,-7540000.0,7188000.0,7188000.0,0.0,0.0
0000896841:2015:FY,AVID,2015,0.0,-6566000.0,-4086000.0,-4086000.0,0.0,0.0
0000896841:2016:FY,AVID,2016,0.0,-1717000.0,46502000.0,46502000.0,0.0,0.0
0000896841:2017:FY,AVID,2017,0.0,7470000.0,-6085000.0,-6085000.0,0.0,0.0
0000896841:2018:FY,AVID,2018,0.0,-1341000.0,-12015000.0,-12015000.0,0.0,0.0
0000896841:2019:FY,AVID,2019,0.0,-163000.0,7438000.0,7438000.0,0.0,0.0
0000896841:2020:FY,AVID,2020,0.0,2253000.0,13315000.0,13315000.0,0.0,0.0
0000896841:2021:FY,AVID,2021,0.0,-2436000.0,38952000.0,38952000.0,0.0,0.0
0000072444:2016:FY,AVIR,2016,0.0,-25300000.0,-25300000.0,-25300000.0,0.0,0.0
0000072444:2017:FY,AVIR,2017,0.0,-29400000.0,-29400000.0,-29400000.0,0.0,0.0
0001593899:2020:FY,AVIR,2020,0.0,0.0,-10947000.0,-10947000.0,0.0,0.0
0001593899:2021:FY,AVIR,2021,0.0,0.0,121190000.0,121190000.0,0.0,0.0
0001348036:2018:FY,AVLR,2018,0.0,-78233000.0,-78233000.0,-78233000.0,0.0,0.0
0001348036:2019:FY,AVLR,2019,0.0,-50588000.0,-50588000.0,-50588000.0,0.0,0.0
0001348036:2020:FY,AVLR,2020,0.0,-47803000.0,-47803000.0,-47803000.0,0.0,0.0
0001348036:2021:FY,AVLR,2021,0.0,-127322000.0,-127322000.0,-127322000.0,0.0,0.0
0001606498:2018:FY,AVNS,2018,0.0,-2400000.0,55100000.0,55100000.0,-2400000.0,0.0
0001606498:2019:FY,AVNS,2019,0.0,1700000.0,-44200000.0,-44200000.0,1700000.0,0.0
0001606498:2020:FY,AVNS,2020,0.0,3900000.0,-23300000.0,-23300000.0,3900000.0,0.0
0001606498:2021:FY,AVNS,2021,0.0,-5700000.0,-500000.0,-500000.0,-5700000.0,0.0
0001122976:2020:FY,AVNT,2020,1800000.0,109000000.0,242400000.0,240600000.0,0.0,0.0
0001122976:2021:FY,AVNT,2021,-200000.0,-72000000.0,158600000.0,158800000.0,0.0,0.0
0001377789:2012:FY,AVNW,2012,0.0,-25400000.0,-25400000.0,-25400000.0,0.0,0.0
0001377789:2013:FY,AVNW,2013,0.0,-14300000.0,-14300000.0,-14300000.0,700000.0,0.0
0001377789:2014:FY,AVNW,2014,0.0,-50800000.0,-50800000.0,-50800000.0,400000.0,0.0
0001377789:2015:FY,AVNW,2015,100000.0,-5600000.0,-30200000.0,-30300000.0,0.0,0.0
0001377789:2016:FY,AVNW,2016,270000.0,-2529000.0,-32166000.0,-32436000.0,0.0,0.0
0001377789:2017:FY,AVNW,2017,202000.0,-628000.0,-1249000.0,-1451000.0,0.0,0.0
0001377789:2018:FY,AVNW,2018,457000.0,-820000.0,1482000.0,1025000.0,0.0,0.0
0001377789:2019:FY,AVNW,2019,0.0,-131000.0,9607000.0,9607000.0,0.0,0.0
0001377789:2020:FY,AVNW,2020,0.0,-2233000.0,-1976000.0,-1976000.0,0.0,0.0
0001377789:2021:FY,AVNW,2021,0.0,110781000.0,110781000.0,110781000.0,642000.0,0.0
0001377789:2022:FY,AVNW,2022,0.0,19458000.0,19458000.0,19458000.0,-1702000.0,0.0
0001802974:2021:FY,AVO,2021,0.0,44900000.0,44900000.0,44900000.0,0.0,0.0
0001802974:2022:FY,AVO,2022,-300000.0,-1200000.0,-36100000.0,-35800000.0,0.0,0.0
0001777921:2021:FY,AVPT,2021,1911000.0,463000.0,-32782000.0,-34693000.0,0.0,0.0
0000008858:2010:FY,AVT,2010,0.0,219638000.0,219638000.0,219638000.0,0.0,0.0
0000008858:2012:FY,AVT,2012,0.0,143976000.0,143976000.0,143976000.0,0.0,0.0
0000008858:2013:FY,AVT,2013,0.0,524800000.0,524800000.0,524800000.0,0.0,0.0
0000008858:2014:FY,AVT,2014,0.0,656221000.0,656221000.0,656221000.0,0.0,0.0
0000008858:2015:FY,AVT,2015,0.0,-8637000.0,-8637000.0,-8637000.0,0.0,0.0
0000008858:2016:FY,AVT,2016,0.0,426794000.0,426794000.0,426794000.0,0.0,0.0
0000008858:2017:FY,AVT,2017,0.0,802187000.0,802187000.0,802187000.0,0.0,0.0
0000008858:2018:FY,AVT,2018,0.0,-107909000.0,-107909000.0,-107909000.0,0.0,0.0
0000008858:2019:FY,AVT,2019,0.0,67649000.0,67649000.0,67649000.0,0.0,0.0
0000008858:2020:FY,AVT,2020,0.0,-115422000.0,-115422000.0,-115422000.0,0.0,0.0
0000008858:2021:FY,AVT,2021,0.0,427747000.0,427747000.0,427747000.0,0.0,0.0
0000008858:2022:FY,AVT,2022,0.0,364878000.0,364878000.0,364878000.0,0.0,0.0
0001798749:2021:FY,AVTE,2021,0.0,-59000.0,-23022000.0,-23022000.0,0.0,0.0
0000039677:2011:FY,AVTR,2011,0.0,0.0,-166177000.0,-166177000.0,0.0,0.0
0001722482:2019:FY,AVTR,2019,0.0,-19400000.0,18400000.0,18400000.0,-19400000.0,0.0
0001722482:2020:FY,AVTR,2020,0.0,107600000.0,224200000.0,224200000.0,107600000.0,0.0
0001722482:2021:FY,AVTR,2021,0.0,-64900000.0,507700000.0,507700000.0,-64900000.0,0.0
0001314052:2016:FY,AVXL,2016,0.0,0.0,-14736698.0,-14736698.0,0.0,0.0
0001314052:2017:FY,AVXL,2017,0.0,0.0,-13460405.0,-13460405.0,0.0,0.0
0001314052:2018:FY,AVXL,2018,0.0,0.0,-17453409.0,-17453409.0,0.0,0.0
0001314052:2019:FY,AVXL,2019,0.0,0.0,-26294979.0,-26294979.0,0.0,0.0
0001314052:2020:FY,AVXL,2020,0.0,0.0,-26280470.0,-26280470.0,0.0,0.0
0001314052:2021:FY,AVXL,2021,0.0,0.0,-37908634.0,-37908634.0,0.0,0.0
0001314052:2022:FY,AVXL,2022,0.0,0.0,-47977919.0,-47977919.0,0.0,0.0
0000008818:2011:FY,AVY,2011,0.0,69800000.0,69800000.0,69800000.0,0.0,0.0
0000008818:2012:FY,AVY,2012,0.0,-14800000.0,200600000.0,200600000.0,0.0,0.0
0000008818:2013:FY,AVY,2013,0.0,212700000.0,212700000.0,212700000.0,-3100000.0,0.0
0000008818:2014:FY,AVY,2014,0.0,-17300000.0,-17300000.0,-17300000.0,-266200000.0,0.0
0000008818:2016:FY,AVY,2016,0.0,251800000.0,251800000.0,251800000.0,-68900000.0,0.0
0000008818:2017:FY,AVY,2017,0.0,353200000.0,353200000.0,353200000.0,71400000.0,0.0
0000008818:2018:FY,AVY,2018,0.0,-1500000.0,465900000.0,465900000.0,-1500000.0,0.0
0000008818:2019:FY,AVY,2019,0.0,333900000.0,637500000.0,637500000.0,333900000.0,0.0
0000008818:2020:FY,AVY,2020,0.0,-1500000.0,554400000.0,554400000.0,-1500000.0,0.0
0000008818:2022:FY,AVY,2022,0.0,806800000.0,806800000.0,806800000.0,66700000.0,0.0
0001418100:2019:FY,AVYA,2019,0.0,-191000000.0,-862000000.0,-862000000.0,-191000000.0,0.0
0001418100:2020:FY,AVYA,2020,0.0,-752000000.0,-752000000.0,-752000000.0,-72000000.0,0.0
0001418100:2021:FY,AVYA,2021,0.0,141000000.0,141000000.0,141000000.0,154000000.0,0.0
0000007431:2011:FY,AWI,2011,0.0,23100000.0,23100000.0,23100000.0,0.0,0.0
0000007431:2012:FY,AWI,2012,0.0,-56400000.0,74900000.0,74900000.0,0.0,0.0
0000007431:2013:FY,AWI,2013,0.0,99800000.0,193900000.0,193900000.0,0.0,0.0
0000007431:2014:FY,AWI,2014,0.0,-123900000.0,-60100000.0,-60100000.0,0.0,0.0
0000007431:2015:FY,AWI,2015,0.0,8100000.0,102300000.0,102300000.0,0.0,0.0
